mistreat	0000121
usher	0001461
tetanus	0000300
bow tie	0007869
decisive	0003428
thesis	0003584
genteel	0000618
bump	0003012
precursor	0001145 marked
I must take issue with you on that	0091702
embankment	0000682
pick out	0038393
barefaced	0000025
mull	0000297 marked
and then	0570655
sneer	0000585
a host of	0027050 marked
wage	0007405
layup	0000000
arid	0001377
head noun	0000551
fiber	0012223
bulb	0002662
loyalty	0005883
dismiss	0003097
abysmal	0000454
underlying	0008592 marked
salesy	0000000
upbeat	0001730
intelligence	0028293 marked
waft	0000210
vigorously	0002711
harshly	0001138
enrolment	0000079
wait up!	0000000
arrogance	0002111 marked
strongly	0015071
help out	0187759
gui	0000000
bulk	0006004
despair	0004944
champion	0010292
queer	0001286
circuit	0005944
vitally	0000445
locomotion	0000307
gut	0003967
magnificent	0004229 marked
restrict	0002930
starkly	0000581 marked
conduit	0000795 marked
instant	0011928
self-centeredness	0000000
buoy	0000542
legislate	0000620
native	0030836
upscale	0002527
The reason I am writing to you is	0048275
beck and call	0002640
gavel	0000499
wail	0001014
costly	0006018
get in there!	0000000
debit	0000540
get the lead	0059304
benefit of the doubt	0027049
hitherto	0000651
telecommuting	0000000
handkerchief	0001902
raver	0000038
accordingly	0004461 marked
consequence	0006513
particularly	0052407 marked
dominant	0010490
a heck of a	0003135
nother	0000000
piece of cake	0011251
play hooky	0000165 marked
blended learning	0002957
lair	0000555 marked
jostle	0000205
inconsistent	0002932
scribble	0000343
self-interested	0000000
lingering	0002720 marked
framework	0011141 marked
pivotal	0002308
curiously	0002107
in-house	0000000 marked
impractical	0000920
disfigure	0000056
ingestion	0000373 marked
also similarly	0012647
entity	0004024
maintainability	0000000
chronicle	0001433
notoriously	0001458
tide	0005583
get in shape	0028723
avoidant	0000000 marked
steward	0000967
equally	0014936
infirm	0000271
theses	0000425
engrosse	0000000
sustained	0006688
bottom of things	0037594 marked
associate	0011551
defenseless	0000619
harmful	0003992
buttress	0000342
get sick	0022134 marked
detract	0000473 marked
wake	0016663
glean	0000374
working memory	0031215 marked
charity	0006945
easterly	0000173
whether	0127429
perspiration	0000831
beneath	0020875 marked
void	0003084
Expecting prompt action	0002568
striking feature	0010050
dispense	0000755
sway	0002133
splinter	0000666
basin	0003126
tick	0001690 marked
basis	0031533
resolute	0000698
tutor	0001344
reconcile	0001926
quantify	0001036
annul	0000079
beyond the pale	0011657
reciprocate	0000300
unresponsive	0000456
inveterate	0000204
exclusionary	0000538 marked
merit system	0004335
cartel	0001325
twist	0006133
tiff	0000000 marked
not gonna cut it	0000018 marked
vole	0000225
nuance	0000695
abdomen	0001553
flagrantly	0000135
muse	0000956
manifestly	0000362 marked
combat	0012961
loft conversion	0002079
appalled	0001843 marked
disallowed	0000166
do the trick	0007803 marked
mush	0000586
indulge	0001603 marked
adjudication	0000390
sorely	0000787
drive out	0050831
pursue	0009896
eviction	0000493
down payment	0007928
tier	0001420 marked
in the same vein	0002447
catastrophe	0002635
convey	0004139
extra	0026051 marked
spin doctor	0007557 marked
bust	0003427
remuneration	0000211
rationality	0001367
contaminate	0000460
measurable	0001258
imposing	0003599
custodian	0000436 marked
wring	0000466
countryside	0004439
foremost	0003467
doubtful	0001835
entrepreneurial	0002079
financial statement	0029428
backfire	0000680
consecutive	0005752
assimilation	0001939
dexterity	0000411
pebble	0000512
conduct	0016335
livelihood	0001310
stress (somebody) out	0000000 marked
lamb	0005097
enervated	0000060
drainage	0002398
tidy	0001807
layover	0000000
burp	0000269
lame	0001535
hit a trough	0000969 marked
cope with	0005630
tight-knit	0000000
on the beat	0037278
offbeat	0000646 marked
decay	0002749
grieve	0000871
acorn	0000886 marked
induct	0000041 marked
revamp	0000457
be carried away	0026016
to summarise	0000009
nonsensical	0000356 marked
active learning	0027705
oversight	0004196
crook	0001239
miscellany	0000110
rendezvous	0001116 marked
camaraderie	0001058
interchange	0000703
drift	0004098
mankind	0002669
abundant	0003584
pigment	0001209
geniality	0000039
impregnate	0000080
unnecessarily	0000951
forecast	0003767
uncover	0001796
deteriorate	0000943
induce	0001937
reassurance	0001159
toolkit	0000160
disincline	0000000
wane	0000492
wand	0000893
baffle	0000227
thinly	0002736
calculatingly	0000000
resign	0003324
To whom it may concern	0035827
pass away	0040227
sophisticated	0010251
grazing	0002468
gilded	0001193
goofy	0001239
reside	0001742
ware	0001199
crops	0007422
ward	0009152
hibernate	0000167
bobblehead	0000000
chase	0006340
archaic	0000938
accident	0016879
incompatible	0001572
distasteful	0000537
pestering	0000227
chasm	0000782
overreach	0000000
defense	0059662
as regards	0002986
draw closer	0020749 marked
hispanic	0009108
public official	0035232
currency	0006927
in order not to	0012498
multifaceted	0000830 marked
lark	0000385
figure out	0074550
inclement	0000188
expected value	0050471
convict	0001702
mean thing	0176706 marked
overreact	0000000 marked
cruelty	0002010 marked
disarmament	0001309
plan ahead	0054631
inhibit	0001254
naturally occurring phenomenon	0004857 marked
intimate	0007210
disclose	0002665
entirely	0019892
entrust	0000302 marked
disparate	0001909
dilapidate	0000000 marked
overmatch	0000000
largesse	0000371
drop a deuce	0000238
oxide	0001218 marked
perusal	0000190
chart	0008927
evoke	0001756 marked
preface	0001007 marked
till	0011008
predominantly	0003895
attend	0013667
floodlight	0000084
hab	0000000
rear its ugly head	0008970
gin rummy	0000172
inferiority	0000721
tilt	0002331
secure	0013811
screenplay	0001649
align	0001179 marked
antagonist	0000290
existential	0001253 marked
Sink	0009601
school	0249542
polychromatic	0000000
basically	0024541
tile	0002934
avenue	0004021
immense	0004079
jettison	0000263
meetup	0000000
grind away	0002098
advantageous	0000830
brush	0011102
painterly	0000000
hay	0003507 marked
last	0325146
gooey	0000439 marked
definite	0002928
wary	0003636
lass	0000360
conflate	0000135
batch	0002351
weight	0040292
solicitor	0000539
cheerful	0002740
dissemble	0000053
warn	0004655
measure	0030881
swig	0000587
transcendence	0000966
outskirts	0002033 marked
interstellar	0001206
luminous	0001696
chalk	0001825
tike	0000000
bunched	0000610
wart	0000235
impingement	0000054
rattle	0001861
warp	0001047
arousal	0001868
chant	0001505
turn signal	0012541
policing	0001554
effort	0048349
wave	0017450
squabble	0000327 marked
venomous	0000376
courageous	0002181 marked
clean up the room	0033196
lave	0000000
ting	0000335
faddism	0000000
unimagined	0000106
transgressor	0000000
steady	0012254
ought to	0022167 marked
yen	0001649
quieten	0000006
bigger fish to fry	0002421
cuddle	0000365
incitement	0000176
loathe	0000488
intruder	0001168
red tape	0022629
infinitesimal	0000241 marked
yet	0143752
contentious	0001921
tediously	0000076
exult	0000064
nothing left	0132348
It seems like ages (since)	0000000 marked
disposable	0001583
interleaving	0000000
rewarding environment	0002635
cuddly	0000340
alike	0007109
clarity	0004463
I'll bite	0000000 marked
laud	0000129 marked
Parcel Shelf	0001635
delightful	0001937
initially	0012655
painstakingly	0000815
buzz	0000091 marked
blurt out	0000224 marked
come into play	0114872 marked
vortex	0000692
as hell	0028738 marked
sweep up	0004838
triune	0000162
cyan	0000168
squawk	0000287 marked
hand-off	0000000
roller coaster	0001439
offence	0000225
no matter how	0085598
law-abiding	0000000
hew	0000273 marked
deprive	0000926
swoop	0000673
floral	0002202
Unfortunately, the attachment won't open on my computer.	0000000
swoon	0000358
endemic	0001145
blindside	0000051 marked
In fact	0152465
supreme	0025239
slope	0005763
brunt	0000879
blatant	0001311
casings	0000430
terrific	0006650
tiny	0030272
sort out	0072842
niche	0003148
hand in	0147365 marked
worship	0005391
take up	0304841
jocund	0000000
went by	0169565
throttle	0001420
beached	0000000 marked
stubborn	0002554
get the gig	0001805 marked
fiscal fees	0008433
waste disposal	0004419
imprecise	0000394
lazy	0003438
glorify	0000349
layer	0010035 marked
sanitation	0001634
warily	0000806
scrivener	0000066
mind-numbingly	0000000 marked
bucolic	0000413
hedgerow	0000149
attest	0001090
smash	0001970
berate	0000145 marked
entice	0000815
profligate	0000220
take to	0304841
impropriety	0000413
heart-wrenching	0000000
conditioned reflexes	0000647
workbook	0000290
industrial-scale	0000000
campground	0000000
look up	0260017
entirety	0000962
subpar (sub-par)	0000000 marked
unify	0000677
untouchable	0000451 marked
consistent	0017124
reverse	0008646
trailblazer	0000000
capital punishment	0009622
sword	0005946
garrulous	0000176
swop	0000000 marked
fictive	0000508
judder	0000000
chap	0000665
proximal	0000559
break in	0067794 marked
begrudgingly	0000000 marked
omnipotence	0000000
gallant	0000565
beam	0005748
hid	0003418
beak	0000978
rhino	0000460
bead	0001205
cut through	0094241
perspire	0000090
thumb through	0006381
hip	0008347
hit	0068891
squash	0003277
emphasis	0015550
bear	0021287
tech-savvy	0000000 marked
forebode	0000000
au pair	0001974 marked
potential	0050457
bridge the gap	0013458
Boilerplate	0000000
repeatedly	0009528 marked
manually	0000979
off-limits	0000000
reproducible	0000191
resist	0007726
straighten	0001854
runtime	0000032
grossly	0001096
searing	0000946
muddler	0000000
careless	0001578
square	0022188
to be advised	0005356
come out	0284722 marked
hold over	0064805
debilitate	0000030
I recommend that you contact our marketing department.	0000000
interference	0003355
commute	0001709
a.d.d.	0000000
distortion	0001663
unfavourably	0000000 marked
turf war	0003152
shepherd	0002010
point	0161543
beguile	0000063
polished	0003905
correspondingly	0000475
seascape	0000000
attachment	0003373 marked
short sighted	0001830
pinprick	0000000
dimension	0006847
longingly	0000309
prerequirement	0000000
hand out	0147365
ceiling	0011418
artisan	0000724
restore	0007090
sprout	0000887
exude	0000289
fugitive	0001490 marked
banner	0003278
prawn	0000159
sensually	0000096
prairie	0002938
empathetic	0000561
burst into tears	0008988
take on	0304841
throwaway	0000292
approve	0004863
mean	0176706
chafe	0000233
calisthenics	0000000
meat	0019516
chew	0001929 marked
sit ups	0002973
attendance	0006225 marked
flinty	0000179
pruning	0000783
lurch	0000755
playtime	0000000
late-stage	0000000 marked
stride	0002623
meek	0000601
advance	0016074
casually	0003101
appreciate	0016372
qualitative	0003468
foregoing	0000537
diverse	0012524
beet	0000651
strict	0006949
kludgy	0000000
workmates	0000022
let out	0231727 marked
preference	0006023
delighted	0004260
fleshy	0000729
court	0075279
distort	0000918
misuse	0001314 marked
subsidiary	0002302
expotition	0000000
litigious	0000189 marked
interrelate	0000058
kludge	0000000 marked
clear away	0081519
gaunt	0001206 marked
hob	0000075
agile	0000791 marked
bulky	0001539
bump into	0003012
hog	0001728 marked
mirror	0017655 marked
obstruction	0001863
dark green	0061661
depict	0001877
sustainable	0005765
conflation	0000191
palm pilot	0009004
shiver	0001309
hop	0002717
silent treatment	0017386
unsafe	0001798
brain teaser	0000277
vanity	0001894
custom-tailored	0000000
secede	0000363
interior	0014560
straight away	0037600
crash the party	0012616 marked
affix	0000184
carry out	0029386
assembly	0007031
fallacy	0000586 marked
sweatshirt	0001172
cash flow	0019617
bully	0002161
predictably	0001146
chip	0008228
migraine	0000779
chin	0008080
wingspan	0000000
etching	0000748
then again	0216279
demotion	0000187
draftsperson	0000000
assemble	0002577
deafening	0000951
self-doubt	0000000
lentil	0000243
schadenfreude	0000079
vulture	0000403
lethargic	0000336
blast	0005890
repel	0000573
meet	0062176
underscore	0001293
seashore	0000323
oil-bearing	0000000
washcloth	0000410
cup of tea	0016821
wildebeest	0000173
drastically	0002018
wizard	0001688
thrive	0002868
aging	0009584
blase	0000000 marked
can't stand	0000000
exportation	0000000
dispatch	0001517
spangle	0000027 marked
inborn	0000243 marked
recreational	0003926
doable	0000441 marked
bulge	0001263
dandelion	0000399 marked
overwrought	0000265
burglar	0000855
took my chance	0054859
tangibly	0000073
vanish	0001526
lightening	0000417
pixie	0000259 marked
upstream	0001660
enactment	0000956
liftoff	0000000
count	0021863
raining cats and dogs	0001936 marked
prerequisite	0001134
think over	0534231
trough	0000969
sensitize	0000130 marked
vision	0030327
succulent	0000559 marked
thereof	0001050
blame	0016064
reckon	0001102
excerpt	0003310
abet	0000144
confusion	0008893
upbraid	0000020
catchphrase	0000084
slip up	0008796
still life	0292890
aggregation	0000428 marked
slings	0000303
evocation	0000440
lurid	0000666
buffoon	0000161
In conclusion	0016071
dean,	0000000
insurgency	0002217 marked
corroborate	0000487 marked
shoelace	0000095
in-depth	0000000
contraction	0001336
bland	0001829
reimplement	0000000
shameful	0001169
trickle	0001666
outward	0003171
notice	0021777
disparage	0000260 marked
lumber	0002969
have to do with	1382916
wiping out	0002222
sleazy	0000624 marked
outlast	0000294 marked
tuition	0003940
trumpeter	0000000
tangible	0002754 marked
overeat	0000000 marked
tomfoolery	0000042
although	0115069
encouragement	0003491
spectacular	0006579
hue	0001793
abused rhythm	0005029 marked
able-bodied	0000000
hum	0002008
come over	0284722
ransom	0001196
envy	0003075
jumpstart	0000000
topsy-turvy	0000000 marked
keep tabs on (something/somebody)	0000000 marked
hut	0003513
adventurous	0001337
muffin top	0001250
course of action	0061273 marked
beat about the bush	0037278 marked
soft skill	0012459
educational games	0026945
superficial	0002195
wear off	0024860
melt	0003457
subterranean	0000748
impasse	0000938
bend	0005934
rheumatism	0000123
stunted	0000651
casualty	0001510
proper name	0017703 marked
crucially	0000387
mulch	0001401
electrocute	0000039
cede the floor	0000367 marked
meld	0000375 marked
belt	0011742
bounty	0001715
filing cabinet (file cabinet)	0000000 marked
fabrication	0001110
unafraid	0000396 marked
executioner	0000424 marked
chop	0002915
sensitive	0013622
fling away	0001060
mantelpiece	0000223
red-handed	0000000
blockage	0000463
afford	0017118
be at it	1942658
soggy	0001004
maligned	0000338
curricula	0002648 marked
reddish	0001059
shield	0004322
floppy	0001053
inference	0001046 marked
diligently	0000786
give (someone) the cold shoulder	0000000 marked
instantaneous	0000792 marked
phenomenon	0010511
obsession	0003617 marked
sparsely	0000746
curtailed	0000749
add up	0051153
stillborn	0000264 marked
malfunction	0000559
sensibility	0001855
buoyant	0000671
spark off	0003353
faucet	0001074
lengthen	0000388
red in the face	0078978
strike	0017856
gaudy	0000669
mathematics education	0007606
heresy	0000724 marked
cruelly	0000476
trigger	0006896
segregate	0000276
meticulous	0001269
paint the town red	0020063
withhold	0001070
draw away	0020749 marked
cyst	0000487
right up	0455674
vastness	0000440 marked
curtain call	0004878
teddy	0004396
little likelihood	0006025 marked
blimey	0000025
mend	0000838
radii	0000000
milling about	0001055
undeniable	0001093
significant other	0061762
spartan	0000343
conscience	0005218
orbiter	0000514 marked
sketchy	0000744
cheapen	0000059
pushchair	0000014
engulf	0000314
inheritance	0002487
pictorially	0000053
thrill	0003478
envious	0000665 marked
decently	0000253
I think that's as far as we can go today.	0000000
short-term	0000000
tantalize	0000082 marked
cough	0002851
under the circumstances	0018757
irreverence	0000198
lay off	0030327
chum	0000427
diverge	0000422
point out	0161543
supplementary	0000653
chug	0000198
accelerate	0002136
gangway	0000198
dramatically	0009105
regardless	0011549
foreign language	0052162
crackle	0000576
dimly	0001212
take for a ride	0026368
chase up	0006340 marked
show up	0157687 marked
mistreatment	0000522
notoriety	0000935 marked
adopt the agenda	0007361
lurch up	0000755
indiscreetly	0000020
cold colours	0000239
bludgeon	0000121
black ice	0033323 marked
designation	0001883
curtail	0000807
present	0060903
in this regard	0016626
curtain	0004878
stamp foot	0003496 marked
strife	0001321 marked
nexus	0000969
frag	0000000
belong	0008265
transgression	0000544
asbestos	0002020
refurbishment	0000094 marked
best	0174308 marked
resituate	0000000
mess	0010788
alpine skiing	0002312
frat	0000000 marked
roll it in	0019877
peerless	0000191
boarding school	0002811
invulnerable	0000233
advise	0003229
rough-terrain	0000000
magnitude	0006994
angsty	0000000
genuine	0007623
call stack	0005190
in favour of	0000343
certainly	0062229
rooster	0001006 marked
immune	0006727
spokesman	0012966
disjunction	0000213 marked
bunting	0000432
impressive	0009538
order of business	0094124 marked
snuck	0000725
longed-for	0000000
compound	0006339
master	0019108
concerning	0010575
attraction	0005106
conventional	0013714
intensely	0002773 marked
sensory	0002287
puzzle	0005424
hypocrisy	0001701
mere	0011023
relent	0000215
accommodation	0001973
callback	0000000
suburb	0002995
socket	0001688
hypocrite	0000405 marked
lily-white	0000000
annoy	0000491
profess	0000518
gouache	0000367
dachshund	0000136
permeability	0000191
expectantly	0000518
restatement	0000145
massacre	0002839
clavicle	0000132
devolve	0000146
misstep	0000313
covet	0000331
pointer	0000833
underdog	0000885
project out	0057794
backdrop	0002858 marked
down in the dumps	0001153
bromance	0000000
dissimilar	0000617
incinerator	0000539
intention	0007560
whorehouse	0000000
double edged sword	0001753
elongate	0000141
wafer	0000532
thereby	0007839
fray	0001386
doozy	0000000
legal tender	0007836
lead off	0059304 marked
concur	0000605
nevertheless	0013664
jumbo	0000950
op-ed	0000000
low point	0068227 marked
permeable	0000295
respectable	0002603 marked
a heck of a somebody/something	0000000
fundamental	0015842
bridesmaid	0000233
unmindful	0000000 marked
fret	0000677
promulgate	0000202
bring in	0076815
indebt	0000000
tried and tested	0016094 marked
monotony	0000377
fade	0004262
overdue	0001295
bail on someone	0003055 marked
spire	0000305
retaliate	0000683
unpalatable	0000244 marked
rebellion	0003109
weary	0003061
perpetrator	0001059
jubilant	0000458
acrylic paint	0001825
trousers	0002625
bespeak	0000000
propelled	0001516
upsell	0000000 marked
thorough	0003866
hold on!	0000000
knitting	0001019
evolve	0002886
ingrain	0000043 marked
not too shabby	0001273
cessation	0000809
marvelous	0002930
stagnation	0000746
household	0012804
response unit	0025487
extol	0000135
ratio	0008304
calculation	0002423
junction	0000957
circumvent	0000686 marked
crumble	0001081
habitual	0000888
gauzy	0000000
conditional	0001054
unfairness	0000477 marked
dingy	0000713
shrug	0002336
safe and sound	0035107 marked
verbatim	0000539
shrub	0000838
spike	0002347
melancholy	0001747
peer pressure	0009388
ick	0000000
spiky	0000540
modularity	0000000 marked
beseech	0000083
inextricably	0000760
trading up	0013293
in high gear	0011591
exhaustive	0001013
awkward	0005202
glimmer	0000925
gobsmack	0000000 marked
loathing	0000540 marked
supercharge	0000000
mercifully	0000558
gauze	0000816
exaltation	0000214
polish off	0006582
savings account	0014565
impatient	0002651
spill	0004420
please	0040385
deprecation	0000018
anemic	0000498
finding	0032495 marked
plumbing	0001978
attune	0000042 marked
inspect	0001990
blusher	0000038
look after	0260017
vital	0011294
are you nuts	0008005
bricklayers	0000057
delusion	0000784
a heck of a somebody	0003135
cost-effective	0000000
overuse	0000570
companionate	0000000
detect	0005885
cabinetry	0000000
amateur	0005087
condemn	0001948
talk over	0136162
get off	0304479
hop on	0002717
soul-crushing	0000000
gulf	0010531
under the hood	0006875
sneeze	0000576 marked
sit down	0041903 marked
jumper	0001271
middleware	0000000
blinds	0001348 marked
malnourishment	0000000
illusory	0000618
miscegenation	0000106
lifelong (life-long)	0000000 marked
sulphur	0000212
inferior	0002650
refuge	0005229
dramatic	0016816
certainty	0003925
commend	0000658
spine	0004603
indeed	0047943
millwork	0000000
trill	0000167
deficiency	0001731
frosted	0000760
conditioned	0001339 marked
venerable	0001504
erroneously	0000407
equal shot	0021022
sponge up	0001450
sturdy	0003010
confronting	0002638 marked
comparatively	0001550
equalize	0000294
rung	0001888
tingle	0000498
fair	0028183
prepositional	0000027
quirky	0001314 marked
preparation	0011626
palatable	0000741
guniting	0000000
charitable	0003021 marked
compatible	0002935 marked
tenement	0000518
delimiter	0000000 marked
enable	0006712 marked
liabilities	0000981
as a consequence	0006513 marked
immunise	0000000
phenomenal	0001811
provisional	0001396
casual dress	0007231
ecstatic	0001383
landlubber	0000021 marked
arise	0005104
ablation	0000144
fruitless	0000652
choke off	0001703
calve off	0000054 marked
scalding	0000337
governor general	0028953
eminent	0001300
underneath	0006936
in tandem	0001353
spectrum	0006637
agita	0000000
onslaught?	0000000
valve	0002440
refund	0001087
remnant	0001071
steep	0006809
seize	0002744
perversion	0000428
no use	0230900
incentivization	0000000
scrappy	0000346 marked
affectionate	0001077
being that	0282429 marked
nettle	0000179
proprioception	0000000
shroud	0000708
gimmick	0000693
bail out	0003055
foreign	0060128
as of now	0655190 marked
nick	0011594
discontinue	0000357
choppy	0000539
underwhelm	0000000 marked
Please acknowledge receipt of this order.	0000000
blaze	0001845
boiler	0001029
meager	0001625 marked
secondary education	0011446
steer	0002915
flurry	0001541 marked
undergo	0002757
delineate	0000474
water down	0165999
homework	0005444
have taken by surprise	0024155
gutted	0000822 marked
backdate	0000000
innate	0001497
live on	0105619
idiocy	0000234 marked
exhaustion	0002224 marked
gratify	0000119 marked
rub off (on something)	0000000 marked
white-collar	0000000
primary education	0033174
excel	0001768
gutter	0000835
appearance	0017044 marked
guilty pleasure	0017706
wear out	0024860
in regard	0016626
full-scale	0000000
ecstatically	0000094
inflection	0000412
wince	0000585
girder	0000102
preferably	0001766
docile	0000499
rambunctious	0000000 marked
impediment	0000791
I'm writing to arrange a time for our meeting.	0000000
bilateral talks	0003266
ascribe	0000425
poll	0013052
blasphemer	0000000
clearly	0047741
stringent	0001816 marked
graceful	0002716
I can't help thinking the same	0000000
exhausting	0001220
preferable	0001399
nuanced	0000913 marked
peace and quiet	0027597 marked
conspiracy	0006152
segregation	0002738
litmus	0000604
lager	0000267
great deal of	0079460 marked
get ahead	0054631
smelly	0000717
to put it another way	0196897
hold off	0064805
bench	0010309
ill	0016966
vitiligo	0000000
staycation	0000000 marked
rhyme	0001182
poke	0001707
rejection	0004937
dispossess	0000031
near-sighted	0000000
deterrence	0001310
fortress	0001685
lay out	0030327
arcanum	0000019
bedizen	0000000
dignified	0001372 marked
predicament	0001556
display rack	0005725
fame	0006648
flick on	0001727
pond	0006267
bribery	0000942 marked
trite	0000312 marked
advice	0023136
adornment	0000269
bring up	0076815
powder	0010056
bestow	0000450
windy	0001960
forsake	0000250
seemingly	0008375
attendant	0003539
unalterable	0000099
crack a smile	0011219 marked
guts	0002723 marked
value	0050471
annex	0000539
ruse	0000506
centennial	0002155
quantity	0003808
fortune	0009921
repay	0001354
cake walk	0011251 marked
problem solving	0005222
tricky	0002960
worthless	0001859
gush	0000426
get your picture taken	0047663
well-tended	0000000
unwanted	0002908
growth	0052904
run into	0103714
weave	0001831
carrot	0002282
nit-picky	0000000
gust	0000836
physical education	0054774
fare	0005117
fixed asset	0004606
keenly	0000969
I suppose I	0014637 marked
milk it	0018696
non-invasively	0000000
resolution	0016330
spouse	0004736
properly	0011289
supplicator	0000000
unanimous	0001910
circuitry	0000655
habitant	0000000
dessicated	0000000
featureless	0000413
grief	0006913
ashamed	0004198
unlikely	0012340
virtually	0017911
fairly	0016284
pool	0020215
stiletto heels	0000233
moratorium	0001425
sprinkle	0004497
subvocalization	0000000 marked
pons	0000000
brush off	0011102 marked
advancement	0002904
Slide Tackle	0006618
harangue	0000149
bank clerk	0005962
dementia	0001458 marked
settle into	0010046
intelligently	0000491
beanie	0000000
feign	0000250
shortly	0011319 marked
firmly	0007473
jerky	0000719
criterion	0003551
fate	0010371
unlearn	0000000
scantily	0000242 marked
primer	0001140
tweezer	0000000
pore	0000477
hasten	0000725 marked
martial arts	0002348 marked
nill	0000000
I hope you can settle this matter by	0010046 marked
insistence	0002653
manual	0007008
prowess	0001275 marked
shit gets real	0011385 marked
make out	0373942
leading-edge	0000000
retire	0004835
ever-increasing	0000000
legibility	0000167
jam-packed	0000000
resilience	0001652
ire	0000647 marked
not to mention	0012498 marked
densely	0001149
chemistry	0005420 marked
grieving	0001711
touch and go	0031428
irk	0000062
crochet	0000175
suction	0000672
resiliency	0000426
holistic	0001688
take for granted	0011243
unleash	0000768
rationale	0003483 marked
I am inclined to believe that	0004378 marked
embarrassment	0003748
oblige	0000607
stratum	0000340
disdain	0001636
worse on purpose	0029027
co-chair	0000000
shout-out	0000000 marked
dine and dash	0001365 marked
bound for	0010947
overt	0001822 marked
invasion	0009112
precedent	0003230
not see/miss the forest for the trees	0000000 marked
stronghold	0001019
Interface	0003696
persuasive	0001993 marked
restless	0002686
shortchange	0000000
communicate	0008308
referent	0000529
telltale	0000944 marked
isp	0000000
annoyance	0001358
rural	0019289
exfiltrate	0000000 marked
liberal arts	0019785
dustpan	0000000
acclaim	0001027
laxative	0000155
fortunately	0006231
scuba diving	0000934 marked
masquerade	0000755
post	0019872
paroxysm	0000065
negligence	0001212
decelerate	0000000
blush	0001660 marked
insecure	0001364
band together	0025458
spare room	0007125
ontology	0000319
defenceman	0000000
posh	0000885
discouragement	0000248 marked
pose	0006930
airfare	0000578 marked
erupt	0000877
remedy	0003536
tantrum	0000531 marked
can hardly wait	0021539
traceability	0000000 marked
nullify	0000218
impactful	0000000
article	0043650
purloin	0000012
shelf	0006058
retreat	0006288
fusion	0002721 marked
demented	0000490
reflexive	0000518
ache	0001748
secretion	0000293
on-going	0000000
shell	0010109
be that as it may	0378271 marked
carnivore	0000324 marked
aardvark	0000034 marked
crooked	0002296
adjustment	0007265
hesitate	0002312
adjustable	0001620 marked
income	0032573
blackboard	0000859
skipper	0000912
annual dividend	0001877
catch up	0027507 marked
treachery	0000499
senior citizen	0010545 marked
overwhelmingly	0002920
behave	0004349
posthumously	0000320 marked
bow instruments	0007869
grandeur	0001147
mixture	0015378 marked
striker	0000377 marked
dislodge	0000452
surveillance	0005382
With respect, you don't quite seem to understand.	0000000
councillor	0000075
I see things rather differently myself	0010057
correctional	0001201
wallaby	0000043
build-up	0000000 marked
perjury	0001879 marked
identify	0021783
get by	0530141
sidekick	0000609 marked
citizenship	0005844
carpentry	0000361
pour	0008151
stowaway	0000107
drenched	0000957
honorary	0001481
untangle	0000292
vermin	0000341
objectivity	0001505
woefully	0000625 marked
inadmissibility	0000019
knock over	0007272
well-read	0000000
detest	0000229
enunciate	0000114
off-premise	0000000 marked
pledge	0004176
fawn	0000491
potpourri	0000273
college	0089399
trailblazing	0000000
overbear	0000000 marked
sanity	0001306
faze	0000233 marked
in place	0200083
motherhood	0001818
variation	0006203
subconscious	0000866
obedience	0001587
shorten	0000850
coterie	0000232
high-mindedness	0000000
It’s a lot to take in.	0000000
casual	0007231
slack	0002315
bottleneck	0000377
household utility	0008770
grandest	0000405
property	0031787
commit to	0007569 marked
frock	0000366
stunted growth	0000651
debris	0005703
pick at	0038393
other than	0652199
incomprehensible	0001178
housecoat	0000000
delicacy	0000876
utterance	0000588
massed	0000544 marked
dovetail	0000199 marked
splash out	0002757
claw our way up	0001278 marked
handle	0023345
un-self-aware	0000000
tough	0033739
script	0007403
patronizing	0000596
work placement	0005686
iroquois	0000000
full-blown	0000000
bilge	0000209
silver	0021059
let alone	0062996 marked
lukewarm	0000674 marked
partial	0005963
sundry	0000308
blessing	0004462
expressionless	0000517
rule out	0030905
variable costs	0009481
luscious	0000770
drench	0000069
confident	0011404
hold out	0064805
exclusion	0003518
inside out	0085537
at long last	0253109
courage	0009666
unamused	0000044 marked
pointlessness	0000000 marked
extravagant	0001389
bubble	0004798
yield	0008925
promptly	0003040 marked
maniacal	0000247
assertion	0003268
clifftop	0000025
i'll give that to him	0000000
ordinance	0001970
cathedral	0002532 marked
incidentally	0001968
synthesis	0002317
polar	0003017
furthering	0000441
Did My Time	0668335
cryptic	0000759
drained	0004242
staffer	0001510
workload	0001024
curriculum	0017083
If you have problems opening the file, please let me know.	0000000
sham	0000973
sickly	0000859
cite	0002905
acquaintance	0001952
governance	0003723
pertain	0000457 marked
knowingly	0001249
internship	0001136
infamous	0002437
shed	0008074
trim back	0005309
will consider my candidacy	0001921
fine art	0052169
tidy up	0001807
lotion	0001271
assertive	0001239
larvae	0001672
tassel	0000202
correspond	0001695
rear	0012161
elapse	0000089
as (of) yet	0000000 marked
reap	0001537
presume	0001555
qualify	0005098
sorry to butt in	0005333
border	0022678
gesso	0000389
admission	0007848
vapid	0000156
sediment	0001674
exuberantly	0000139
dead in the eye	0044177
unfulfilling	0000065
flip-top	0000000
larval	0000471
a throw in	0020610
n.b. (NB)	0000000 marked
readership	0000749 marked
stuck in a rut	0001054
prompter	0000080
credence	0000760
gear	0011591 marked
proxy war	0001521
facilitate	0005258
reassignment	0000181
humankind	0001458
unpredictability	0000484
the mere	0011023
